subject,accuracy_float,accuracy_int8
s01,92.0541,91.9715
s02,84.4496,84.1587
s03,86.8418,86.6216
s04,83.2742,83.0543
s05,89.5167,89.4801
s06,90.1901,90.1417
s07,89.3053,89.0186
s08,90.9041,90.7533
s09,90.2325,90.1620
s10,83.7099,83.1647
s11,79.4621,79.3646
s12,76.8252,76.6921
s13,86.8678,86.7848
s14,83.1133,83.1103
s15,88.4437,88.3477
s16,81.2238,81.3108
s17,84.8940,84.8291
s18,84.2801,84.3007
s19,87.4160,86.9935
s20,86.9207,86.9707
s21,83.3428,83.8259
s22,88.3858,88.1589
s23,86.8488,86.8160
s24,75.6362,75.7493
s25,78.9934,78.9714
s26,89.2161,89.1442
s27,81.0018,80.9797
s28,81.0553,80.9062
s29,84.6650,84.3624
s30,87.4618,87.3846
s31,83.5055,83.5501
s32,87.8860,87.8725
s33,92.6166,92.6555
s34,86.0101,85.8926
s35,83.6423,83.5566
s36,75.7985,75.7298
s37,88.7318,88.7909
s38,83.5754,83.5769
s39,84.3233,84.4311
s40,93.0265,92.7363
